0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
100.0,0.0,0.0,92.70700000000001,101,0.5,41.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,750.0,10.0,,,2.876821,14.201217999999999,1.645475799,101.78456070000001,,91.7,2.5
100.0,0.0,0.0,92.70700000000001,101,0.5,41.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,770.0,10.0,,,2.877027,14.202028,1.6454518269999998,101.80494449999999,,95.7,
100.0,0.0,0.0,92.70700000000001,101,0.5,41.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,800.0,10.0,,,2.877425,14.203733999999999,1.6454218619999998,101.8453459,,106.6,2.9
100.0,0.0,0.0,92.70700000000001,101,0.5,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,650.0,10.0,,,2.876154,14.194939999999999,1.645129804,101.69239250000001,,38.6,4.0
100.0,0.0,0.0,92.70700000000001,101,0.5,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,680.0,10.0,,,2.876468,14.201701000000002,1.645733703,101.76304429999999,,68.1,
100.0,0.0,0.0,92.70700000000001,101,0.5,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,700.0,10.0,,,2.876547,14.203505999999999,1.6458976680000001,101.7815686,,83.0,3.1
100.0,0.0,0.0,92.70700000000001,101,0.5,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,730.0,10.0,,,2.877321,14.206092000000002,1.6457545059999998,101.8548903,,101.6,
100.0,0.0,0.0,92.70700000000001,101,0.5,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,750.0,10.0,,,2.877482,14.206043,1.6456567469999999,101.8659378,,102.5,3.0
100.0,0.0,0.0,92.70700000000001,101,0.5,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,770.0,10.0,,,2.87772,14.206282999999999,1.645548443,101.88451059999998,,106.9,
100.0,0.0,0.0,92.70700000000001,101,0.5,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,800.0,10.0,,,2.878498,14.209857000000001,1.645517558,101.9652535,,119.5,3.3
100.0,0.0,0.0,92.70700000000001,101,0.5,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,650.0,10.0,,,2.8755490000000004,14.194215,1.645391889,101.6444232,,33.9,3.0
100.0,0.0,0.0,92.70700000000001,101,0.5,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,680.0,10.0,,,2.8755509999999997,14.197541000000001,1.645776294,101.6683821,,48.7,
100.0,0.0,0.0,92.70700000000001,101,0.5,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,10.0,,,2.87581,14.199797,1.645889564,101.7028555,,54.4,3.65
100.0,0.0,0.0,92.70700000000001,101,0.5,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,730.0,10.0,,,2.8762369999999997,14.200867,1.645769223,101.74072530000001,,57.7,
100.0,0.0,0.0,92.70700000000001,101,0.5,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,750.0,10.0,,,2.876786,14.2019,1.6455748419999998,101.78697199999999,,79.1,3.25
100.0,0.0,0.0,92.70700000000001,101,0.5,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,770.0,10.0,,,2.8769880000000003,14.202051999999998,1.6454769130000002,101.80235649999999,,94.5,
100.0,0.0,0.0,92.70700000000001,101,0.5,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,800.0,10.0,,,2.877846,14.205402,1.645374353,101.8871139,,105.1,3.1
80.0,10.0,10.0,92.3555,102,,,,,,,,,,,,480.0,3.0,800.0,12.0,2,,2.8717,14.208,1.64919734,101.47094770000001,,,
90.0,5.0,5.0,92.53125,102,,,,,,,,,,,,480.0,3.0,750.0,12.0,2,,2.8758,14.204,1.646382456,101.732251,,,
