0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Unnamed: 27,Unnamed: 28
100.0,0.0,0.0,92.707,101,0.5,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,650.0,10.0,,,2.875549,14.194215,1.6453918886445684,101.64442322895844,,33.9,3.0
100.0,0.0,0.0,92.707,101,0.5,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,680.0,10.0,,,2.875551,14.197541,1.6457762935404956,101.66838205736421,,48.7,
100.0,0.0,0.0,92.707,101,0.5,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,10.0,,,2.87581,14.199797,1.645889563867803,101.70285545547077,,54.4,3.65
100.0,0.0,0.0,92.707,101,0.5,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,730.0,10.0,,,2.876237,14.200867,1.64576922323624,101.74072526912634,,57.7,
100.0,0.0,0.0,92.707,101,0.5,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,750.0,10.0,,,2.876786,14.2019,1.645574841738894,101.78697202798995,,79.1,3.25
100.0,0.0,0.0,92.707,101,0.5,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,770.0,10.0,,,2.876988,14.202052,1.6454769131234939,101.80235649016203,,94.5,
100.0,0.0,0.0,92.707,101,0.5,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,800.0,10.0,,,2.877846,14.205402,1.6453743529014409,101.88711389373235,,105.1,3.1
80.0,10.0,10.0,92.3555,102,,,,,,,,,,,,480.0,3.0,800.0,12.0,2,,2.8717,14.208,1.6491973395549675,101.47094768794244,,,
90.0,5.0,5.0,92.53125,102,,,,,,,,,,,,480.0,3.0,750.0,12.0,2,,2.8758,14.204,1.6463824558963305,101.7322509916228,,,
90.0,5.0,5.0,92.53125,102,,10.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,480.0,3.0,800.0,12.0,2,,2.8755,14.203,1.6464383005854053,101.70386619511444,,,
90.0,5.0,5.0,92.53125,102,,10.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,480.0,3.0,750.0,12.0,2,,2.8747,14.202,1.6467805336208998,101.64012674915095,,,
90.0,5.0,5.0,92.53125,102,,10.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,480.0,3.0,800.0,12.0,2,,2.8749,14.201,1.6465500249284035,101.64711220863757,,,
90.0,5.0,5.0,92.53125,102,,10.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,480.0,3.0,750.0,12.0,2,,2.8766,14.206,1.6461563419777978,101.80319174559088,,,
80.0,10.0,10.0,92.3555,105,0.1,8.0,10.81,5.0,2.04,2.0,800.6,26.7,87.0,27.0,3.0,650.0,5.0,800.0,10.0,1.5,,2.8708,14.1982,1.648576471134643,101.33740906147878,1.6121,,
80.0,10.0,10.0,92.3555,105,0.2,8.0,10.81,5.0,2.04,2.0,800.6,26.7,87.0,27.0,3.0,650.0,5.0,800.0,10.0,1.5,,2.8721,14.2029,1.6483757529333936,101.46278407892201,1.7181,,
80.0,10.0,10.0,92.3555,105,0.3,8.0,10.81,5.0,2.04,2.0,800.6,26.7,87.0,27.0,3.0,650.0,5.0,800.0,10.0,1.5,,2.8732,14.2088,1.6484291614460067,101.58269920022035,1.6987,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,650.0,5.0,800.0,10.0,1.5,,2.8701,14.1966,1.6487927249921608,101.27658180060249,1.5249,,
80.0,10.0,10.0,92.3555,105,0.1,8.0,10.81,5.0,2.04,2.0,800.6,26.7,87.0,27.0,3.0,650.0,5.0,800.0,10.0,1.5,,2.8708,14.1982,1.648576471134643,101.33740906147878,1.6121,,
80.0,10.0,10.0,92.3555,105,0.2,8.0,10.81,5.0,2.04,2.0,800.6,26.7,87.0,27.0,3.0,650.0,5.0,800.0,10.0,1.5,,2.8721,14.2029,1.6483757529333936,101.46278407892201,1.7181,,
80.0,10.0,10.0,92.3555,105,0.3,8.0,10.81,5.0,2.04,2.0,800.6,26.7,87.0,27.0,3.0,650.0,5.0,800.0,10.0,1.5,,2.8732,14.2088,1.6484291614460067,101.58269920022035,1.6987,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,650.0,5.0,800.0,10.0,1.5,,2.8701,14.1966,1.6487927249921608,101.27658180060249,1.5249,,
83.0,7.0,10.0,92.46815000000001,105,,,,,,,,,,,,,,800.0,15.0,,,,,,,,,
83.0,7.0,10.0,92.46815000000001,105,,,,,,,,,,,,,,800.0,15.0,,,,,,,,,
83.0,7.0,10.0,92.46815000000001,105,,,,,,,,,,,,,,800.0,15.0,,,,,,,,,
83.0,7.0,10.0,92.46815000000001,105,,,,,,,,,,,,,,800.0,15.0,,,,,,,,,
83.0,7.0,10.0,92.46815000000001,105,0.6,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,,,800.0,15.0,,,,,,,,,
83.0,7.0,10.0,92.46815000000001,105,0.6,8.0,10.81,5.0,2.04,2.0,800.6,26.7,87.0,27.0,3.0,,,800.0,15.0,,,,,,,,,
90.0,5.0,5.0,92.53125,105,,,,,,,,,,,,,,,,,,,,,,,,
90.0,5.0,5.0,92.53125,105,,,,,,,,,,,,500.0,10.0,730.0,15.0,,,,,,,,,
90.0,5.0,5.0,92.53125,105,,,,,,,,,,,,500.0,10.0,750.0,15.0,,,,,,,,,
90.0,5.0,5.0,92.53125,105,,,,,,,,,,,,500.0,10.0,770.0,15.0,,,,,,,,,
90.0,5.0,5.0,92.53125,105,,,,,,,,,,,,500.0,10.0,730.0,15.0,,,,,,,,,
90.0,5.0,5.0,92.53125,105,,,,,,,,,,,,500.0,10.0,730.0,15.0,,,,,,,,,
90.0,5.0,5.0,92.53125,105,,,,,,,,,,,,500.0,10.0,730.0,15.0,,,,,,,,,
90.0,0.0,10.0,92.731,101,,,,,,,,,,,,500.0,5.0,730.0,10.0,,,2.87051,14.17868,1.6464762939918922,101.17764369599253,2.3,700.0,2.0
90.0,0.0,10.0,92.731,101,1.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,500.0,5.0,730.0,10.0,,,2.86937,14.18335,1.6476729502759608,101.13059406554783,2.35,700.0,2.0
90.0,0.0,10.0,92.731,101,1.0,10.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,500.0,5.0,730.0,10.0,,,2.87034,14.18482,1.647286848712464,101.20946921572609,2.35,700.0,2.0
90.0,0.0,10.0,92.731,101,1.0,2.0,47.867,22.0,1.54,5.0,658.8,7.6,147.0,74.0,3.0,500.0,5.0,730.0,10.0,,,2.87047,14.19017,1.647833513907711,101.25681314078746,2.4,400.0,3.0
90.0,0.0,10.0,92.731,101,1.0,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,500.0,5.0,730.0,10.0,,,2.87259,14.18928,1.6465141214026366,101.40007566767154,2.05,250.0,7.5
