0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,30.0,30.0,2.7,4.5
,,,,,,,,30.0,30.0,2.7,4.5
,,,,,,,,30.0,30.0,2.7,4.5
,,,,,,,,30.0,30.0,2.7,4.5
,,,,70.7,,,,30.0,30.0,2.7,4.5
,,,,80.0,,,,30.0,30.0,2.7,4.5
,,,,76.0,,,,30.0,30.0,2.7,4.5
,,,,87.2,,,,30.0,30.0,2.7,4.5
,,,,94.8,,,,30.0,30.0,2.7,4.5
,,,,81.7,,,,30.0,30.0,2.7,4.5
,,,,84.4,,,,30.0,30.0,2.7,4.5
,,,,83.1,,,,30.0,30.0,2.7,4.5
,,,,72.6,,,,30.0,30.0,2.7,4.5
,,,,70.0,,,,30.0,30.0,2.7,4.5
,,,,73.4,,,,30.0,30.0,2.7,4.5
,,,,71.2,,,,30.0,30.0,2.7,4.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
