0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
90,0,10,92.731,101,,,,,,,,,,,,500,5,730,10,,,2.87051,14.17868,1.646476294,101.1776437,2.3,700,2
90,0,10,92.731,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,500,5,730,10,,,2.86937,14.18335,1.64767295,101.1305941,2.35,700,2
90,0,10,92.731,101,1,Mg,24.305,12,1.31,3,737.7,0,145,72,2,500,5,730,10,,,2.87034,14.18482,1.647286849,101.2094692,2.35,700,2
90,0,10,92.731,101,1,Ti,47.867,22,1.54,5,658.8,7.6,147,74,3,500,5,730,10,,,2.87047,14.19017,1.647833514,101.2568131,2.4,400,3
90,0,10,92.731,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,500,5,730,10,,,2.87259,14.18928,1.646514121,101.4000757,2.05,250,7.5
90,0,10,92.731,101,1,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,500,5,730,10,,,2.87348,14.19297,1.646432201,101.4893039,2.05,250,7.5
90,0,10,92.731,101,,,,,,,,,,,,500,5,730,10,,,2.87051,14.17868,1.646476294,101.1776437,2.3,700,2
90,0,10,92.731,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,500,5,730,10,,,2.86937,14.18335,1.64767295,101.1305941,2.35,700,2
90,0,10,92.731,101,1,Mg,24.305,12,1.31,3,737.7,0,145,72,2,500,5,730,10,,,2.87034,14.18482,1.647286849,101.2094692,2.35,700,2
90,0,10,92.731,101,1,Ti,47.867,22,1.54,5,658.8,7.6,147,74,3,500,5,730,10,,,2.87047,14.19017,1.647833514,101.2568131,2.4,400,3
90,0,10,92.731,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,500,5,730,10,,,2.87259,14.18928,1.646514121,101.4000757,2.05,250,7.5
90,0,10,92.731,101,1,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,500,5,730,10,,,2.87348,14.19297,1.646432201,101.4893039,2.05,250,7.5
90,7,3,92.45135,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,500,5,730,10,,,,,,,,,
90,10,0,92.3315,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,500,5,730,10,,,,,,,,,
90,0,10,92.731,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,500,5,730,10,,,,,,,,,
90,0,10,92.731,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,500,5,750,10,,,,,,,,,
90,0,10,92.731,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,500,5,770,10,,,,,,,,,
90,0,10,92.731,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,500,5,790,10,,,,,,,,,
90,0,10,92.731,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,500,5,850,10,,,,,,,,,
90,0,10,92.731,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,500,5,730,10,,,,,,,,,
90,0,10,92.731,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,500,5,750,10,,,,,,,,,
90,0,10,92.731,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,500,5,770,10,,,,,,,,,
90,0,10,92.731,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,500,5,790,10,,,,,,,,,
90,0,10,92.731,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,500,5,850,10,,,,,,,,,
84,6,10,92.5057,105,,,,,,,,,,,,500,5,760,15,,,,,,,,,
84,6,10,92.5057,105,0.5,V,50.9415,23,1.63,1,650.9,50.6,134,79,5,500,5,760,15,,,,,,,,,
84,6,10,92.5057,105,1,V,50.9415,23,1.63,1,650.9,50.6,134,79,5,500,5,760,15,,,,,,,,,
84,6,10,92.5057,105,2,V,50.9415,23,1.63,1,650.9,50.6,134,79,5,500,5,760,15,,,,,,,,,
94,0,6,92.7214,103,,,,,,,,,,,,500,3,680,12,,,2.871,14.176,1.645884129,101.1930582,,,
94,0,6,92.7214,103,2,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,500,3,680,12,,,2.871,14.186,1.647045164,101.2644416,,,
95,0,5,92.719,102,,,,,,,,,,,,450,4,740,12,,,2.8722,14.1817,1.645857995,101.3183903,,,
95,0,5,92.719,102,1,Te,127.6,52,2.1,8,869.3,190.2,140,221,6,450,4,740,12,,,2.8742,14.1888,1.645536149,101.5103368,,,
95,0,5,92.719,102,,,,,,,,,,,,450,4,740,12,,,2.8722,14.1817,1.645857995,101.3183903,,,
95,0,5,92.719,102,1,Te,127.6,52,2.1,8,869.3,190.2,140,221,6,450,4,740,12,,,2.8742,14.1888,1.645536149,101.5103368,,,
85,5,10,92.54325,105,,,,,,,,,,,,,,760,6,,,2.87,14.188,1.647851336,101.2081776,,,
85,5,10,92.54325,105,1,W,183.84,74,2.36,5,770,78.6,139,66,6,,,760,6,,,2.877,14.174,1.642219905,101.6021233,,,
85,5,10,92.54325,105,,,,,,,,,,,,,,760,6,,,2.87,14.188,1.647851336,101.2081776,,,
85,5,10,92.54325,105,1,W,183.84,74,2.36,5,770,78.6,139,66,6,,,760,6,,,2.877,14.174,1.642219905,101.6021233,,,
85,5,10,92.54325,105,,,,,,,,,,,,,,760,6,,,2.87,14.188,1.647851336,101.2081776,,,
85,5,10,92.54325,105,1,W,183.84,74,2.36,5,770,78.6,139,66,6,,,760,6,,,2.877,14.174,1.642219905,101.6021233,,,
100,0,0,92.707,105,1,Mg,24.305,12,1.31,3,737.7,0,145,72,2,500,12,700,6,,,2.87792,14.19937,1.644633393,101.8490875,,,
